title,issn,specialty
Информационно-управляющие системы,1684-8853,05.13.05; 05.13.15; 28.12.20; 16.10.20; 05.13.17; 1.2.2; 2.2.13; 2.2.14; 2.2.15; 2.2.16; 2.3.1; 2.3.4; 2.3.5; 2.3.6; 01.02.20; 1.1.6; 01.02.20; 12.10.20
Информационно- экономические аспекты стандартизации и технического регулирования,2311-1348,05.25.05; 08.00.05; 28.12.20; 16.10.20; 2.5.22; 2.3.8; 5.2.3; 31.01.20
Информационные войны,1996-4544,23.00.06; 28.12.20; 16.10.20; 5.5.4; 01.02.20; 5.4.5; 5.4.5; 5.4.7; 01.11.20
Информационные и математические технологии в науке и управлении,2413-0133,1.2.2; 2.3.1; 2.3.3; 2.3.5; 2.4.5; 22.03.20
Информационные и телекоммуникационные технологии,2218-5070,2.3.4; 01.02.20
Информационные ресурсы России,0204-3653,05.13.17; 05.25.05; 28.12.20; 16.10.20; 2.3.1; 01.02.20
Информационные системы и технологии,2072-8964,2.2.8; 2.2.15; 2.3.1; 2.3.3; 2.3.4; 01.02.20; 1.2.2; 2.3.8; 15.04.20
Информационные технологии,1684-6400,05.13.05; 05.13.12; 05.13.15; 26.03.20; 16.10.20; 05.13.17; 05.13.17; 1.2.2; 1.2.2; 2.2.11; 2.2.15; 2.3.1; 2.3.1; 2.3.3; 2.3.4; 2.3.5; 2.3.6; 01.02.20; 1.2.3; 2.3.2
Информационные технологии в проектировании и производстве,2073-2597,05.11.08; 05.11.14; 05.13.05; 05.13.12; 28.12.20; 16.10.20; 05.13.15; 1.2.2; 2.2.4; 2.2.6; 2.2.11; 2.3.3; 2.3.4; 01.02.20; 2.2.9; 2.3.2; 2.3.7; 15.02.20
Информационные технологии в,2686-7362,2.3.1; 2.3.4; 5.2.2; 25.06.20
Информационные технологии и вычислительные системы,2071-8632,05.13.17; 05.13.17; 05.13.20; 26.03.20; 16.10.20; 1.2.2; 1.2.2; 2.3.1; 2.3.1; 01.02.20; 2.3.5; 2.3.5; 2.3.6; 1.1.5; 1.2.1; 1.2.3; 2.3.2; 2.3.3; 2.3.4; 2.3.6
Информация и безопасность,1682-7813,2.3.6; 01.02.20
Информация и Космос,2072-9804,05.13.05; 05.13.15; 05.13.17; 25.00.35; 26.03.20; 16.10.20; 1.2.2; 01.02.20; 2.2.13; 2.2.14; 2.2.15; 2.2.16; 2.3.1; 2.3.5; 2.3.6; 1.6.20; 2.3.2; 2.3.8; 22.11.20
Ипатьевский вестник,2309-5164,5.11.1; 5.11.2; 5.11.3; 19.12.20
Иппология и ветеринария,2225-1537,06.02.01; 06.02.01; 06.02.03; 06.02.03; 06.02.04; 06.02.04; 06.02.05; 28.12.20; 16.10.20; 06.02.05; 06.02.06; 06.02.06; 06.02.06; 06.02.07; 06.02.07; 06.02.08; 06.02.08; 06.02.09; 06.02.09; 06.02.10
Искусственные общества,2077-5180,08.00.05; 08.00.13; 26.03.20; 16.10.20; 1.2.2; 2.3.4; 5.7.6; 5.7.7; 01.02.20; 1.2.1; 1.2.2; 5.2.2; 5.2.3; 26.01.20
Искусственный интеллект и принятие решений,2071-8594,01.01.09; 05.13.17; 05.13.17; 28.12.20; 16.10.20; 2.3.1; 2.3.1; 2.3.5; 01.02.20; 2.3.5; 5.3.1; 1.2.1; 1.2.1; 2.3.8; 5.12.4; 29.03.20
Искусство Евразии,2518-7767,5.10.1; 01.10.20
Искусство и образование,2072-0432,17.00.02; 17.00.09; 28.12.20; 16.10.20; 5.8.1; 5.8.2; 5.8.7; 01.02.20; 5.10.1; 5.10.3; 29.03.20
Искусство музыки: теория и история,2307-5015,5.10.1; 5.10.1; 5.10.3; 5.7.3; 23.09.20
Искусство правоведения. The Art of Law,2949-1088,5.1.1; 5.1.2; 5.1.4; 01.10.20; 5.1.3; 30.03.20
Искусствоведение,2949-3277,5.10.1; 5.10.3; 19.12.20; 17.00.04; 17.00.09; 24.00.01; 24.00.01; 28.12.20; 16.10.20; 5.10.1; 5.10.1; 5.10.1; 5.10.2; 5.10.2; 5.10.3; 21.02.20
Ислам в современном мире: внутригосударственный и международно-политический аспекты,2074-1529,26.00.01; 28.12.20; 16.10.20; 5.5.2; 5.6.1; 01.02.20; 5.5.1; 5.5.1; 5.6.4; 5.11.1; 5.11.2; 5.11.3; 20.12.20
Исламоведение,2077-8155,23.00.03; 23.00.06; 28.12.20; 16.10.20; 5.5.4; 5.6.1; 5.7.4; 5.7.7; 5.7.8; 5.7.9; 01.02.20
Исследование проблем экономики и финансов,2782-6414,5.2.3; 5.2.4; 19.12.20
Использование и охрана природных ресурсов в России,2222-5633,06.03.02; 25.00.30; 25.00.33; 26.03.20; 16.10.20; 1.5.15; 1.5.19; 1.5.20; 1.6.6; 1.6.16; 1.6.21; 01.02.20; 1.6.18; 1.6.20; 4.1.1; 4.1.3; 4.1.5; 4.1.6; 20.03.20
Исследования водных биологических ресурсов Камчатки и северо-западной части Тихого океана,2072-8212,06.04.01; 28.12.20; 16.10.20; 1.5.13; 1.5.16; 1.5.20; 01.02.20
Историко-биологические исследования,2076-8176,5.6.6; 5.6.6; 01.02.20
Историко-географический журнал,2782-6511,5.6.1; 5.6.2; 5.6.3; 5.6.4; 5.6.5; 5.6.8; 5.9.1; 1.6.13; 30.10.20
Историко-правовые проблемы: новый ракурс,2309-1592,12.00.01; 28.12.20; 16.10.20; 5.1.1; 28.11.20
Историко-экономические исследования,2308-2488,5.2.1; 5.6.1; 01.02.20
Историческая информатика,2585-7797,5.6.1; 5.6.2; 5.6.5; 01.02.20; 5.6.4; 5.6.6; 5.6.8; 5.6.8; 20.03.20
ИСТОРИЧЕСКАЯ ЭКСПЕРТИЗА / «THE HISTORICAL EXPERTISE»,2409-6105,5.6.1; 5.6.2; 5.6.5; 01.02.20; 03.12.20
Исторические записки,0130-6685,5.6.1; 5.6.2; 5.6.3; 5.6.4; 5.6.5; 01.02.20
Исторический архив,0869-6322,5.6.1; 5.6.5; 01.02.20
Исторический бюллетень,2658-5685,5.6.1; 5.6.2; 5.6.4; 5.6.5; 5.6.7; 01.02.20
Исторический вестник,2306-4978,5.6.1; 5.6.2; 20.07.20
Исторический журнал: научные исследования,2454-0609,5.6.1; 01.02.20; 5.6.3; 5.6.4; 5.6.5; 5.6.6; 5.6.2; 5.6.8; 20.03.20
Исторический курьер,2618-9100,5.6.1; 5.6.4; 5.6.5; 5.6.6; 5.6.7; 01.02.20
Исторический поиск / Historical Search,2712-9454,5.6.1; 5.6.4; 5.6.5; 27.04.20
"История, археология и этнография Кавказа 2618-849Х,",2618-6772,5.6.1; 5.6.3; 5.6.4; 01.02.20
История государства и права,1812-3805,12.00.01; 28.12.20; 16.10.20; 5.1.1; 23.09.20
История и педагогика естествознания,2226-2296,5.6.6; 5.6.6; 5.6.6; 01.02.20
История и архивы,2658-6541,5.6.1; 5.6.2; 5.6.5; 5.6.8; 01.02.20
ИСТОРИЯ И СОВРЕМЕННОЕ МИРОВОЗЗРЕНИЕ / HISTORY AND MODERN PERSPECTIVES,2658-4654,23.00.05; 05.04.20; 16.10.20; 5.6.1; 5.6.2; 5.6.3; 5.6.4; 5.6.5; 5.6.6; 5.6.7; 01.02.20; 5.6.8; 21.02.20; 30.10.20
"История. Культурология. Политология (до 30.10.2024 наименование в Перечне «Гуманитарные, социально-экономические и общественные науки. Серия: Исторические науки. Культурология. Политические науки» ISSN",2686-8350,
История медицины,2311-6919,14.02.03; 28.12.20; 16.10.20; 5.6.6; 5.6.6; 5.6.6; 01.02.20
История науки и техники,1813-100X,17.00.04; 17.00.09; 28.12.20; 16.10.20; 5.6.1; 5.6.2; 5.6.3; 5.6.4; 5.6.5; 5.6.6; 01.02.20
История повседневности,2542-2375,5.6.1; 5.6.4; 5.6.5; 30.06.20
История философии / History of Philosophy,2074-5869,5.7.2; 01.02.20
История: Факты и Символы,2410-4205,5.6.1; 5.6.3; 01.02.20; 05.09.02; 28.12.20; 16.10.20; 2.4.1; 20.03.20
Казанская наука,2078-9955,10.01.01; 10.01.10; 10.02.01; 10.02.04; 10.02.19; 28.12.20; 16.10.20; 5.8.2; 5.8.3; 5.8.7; 5.9.1; 5.9.5; 5.9.6; 5.9.8; 5.9.9; 27.06.20
Казанский лингвистический журнал,2658-3321,5.8.1; 5.8.2; 5.8.7; 30.06.20; 5.9.1; 5.9.2; 5.9.6; 5.9.8
Казанский медицинский журнал,0368-4814,14.01.21; 14.02.03; 14.02.05; 14.02.06; 14.03.01; 14.03.09; 14.03.09; 28.12.20; 16.10.20; 3.1.6; 3.1.9; 3.1.11; 3.1.20; 3.2.1; 3.2.1; 3.2.4; 3.3.1; 3.3.2; 3.3.2; 3.3.3
Казанский социально- гуманитарный вестник,2079-5912,22.00.03; 28.12.20; 16.10.20; 5.4.4; 5.4.5; 5.4.5; 01.02.20; 5.7.1; 5.7.7; 5.7.9; 29.03.20
Казанский экономический вестник,2305-4212,08.00.05; 26.03.20; 16.10.20; 08.00.12; 5.2.1; 5.2.4; 01.02.20
Кантовский сборник,0207-6918,5.7.1; 5.7.2; 5.7.3; 5.7.4; 5.7.5; 5.7.6; 5.7.7; 5.7.8; 5.7.9; 01.02.20
Карантин растений. Наука и практика,2306-9767,06.01.07; 12.02.20; 16.10.20; 1.5.9; 1.5.14; 01.02.20
Кардиоваскулярная терапия и профилактика,1728-8800,3.1.1; 3.1.18; 3.1.20; 3.1.20; 3.1.25; 3.1.33; 3.1.33; 5.8.2; 5.8.7; 15.02.20; 3.2.3; 11.12.20
Кардиологический вестник - бюллетень Российского кардиологического научно- производственного комплекса,2077-6764,14.01.13; 28.12.20; 16.10.20; 1.5.4; 1.5.22; 3.1.15; 3.1.20; 01.02.20; 3.1.1; 3.1.25; 13.10.20
Кардиология и сердечно- сосудистая хирургия,1996-6385,3.1.9; 01.02.20; 3.1.15; 3.1.20; 13.07.20
"Кардиология: новости, мнения, обучение",2309-1908,3.1.15; 3.1.20; 3.1.28; 01.02.20
Картофель и овощи,0022-9148,06.01.05; 06.01.05; 06.01.09; 06.01.09; 28.12.20; 16.10.20; 06.01.07; 06.01.07; 01.07.20; 16.10.20; 4.1.1; 01.02.20; 4.1.2; 4.1.3; 15.02.20; 4.1.3; 4.1.4; 23.00.01; 28.12.20; 16.10.20
Катарактальная и рефракционная хирургия,2413-0338,3.1.5; 01.02.20
Каучук и резина,0022-9466,1.4.7; 1.4.7; 2.6.6; 2.6.6; 2.6.11; 2.6.11; 2.6.17; 2.6.17; 11.12.20
Кафедра травматологии и ортопедии,2226-2016,3.1.8; 01.02.20
Качественная Клиническая Практика,2588-0519,3.1.18; 3.3.6; 3.3.6; 01.02.20
Качество и жизнь,2312-5209,05.02.02; 05.02.11; 05.02.18; 05.02.22; 05.02.23; 05.22.13; 05.22.14; 26.03.20; 16.10.20; 2.5.3; 2.5.4; 2.5.5; 2.5.7; 2.5.8; 01.02.20; 2.9.2; 01.02.20; 21.06.20; 1.2.2; 2.5.13
Качество. Инновации. Образование,1999-513X,05.27.06; 28.12.20; 16.10.20; 05.02.22; 05.02.23; 21.11.20; 16.10.20; 2.2.15; 01.02.20; 2.2.16; 2.2.2; 2.5.22; 22.05.20
Квантовая электроника,0368-7147,1.3.6; 1.3.6; 1.3.8; 1.3.8; 1.3.9; 1.3.9; 1.3.16; 1.3.16; 1.3.19; 1.3.19; 2.2.7; 2.2.7; 11.12.20
Клеточная терапия и трансплантология,1866-8836,1.5.7; 3.1.6; 3.1.6; 3.1.14; 3.1.14; 3.1.28; 3.1.28; 3.3.8; 3.3.8; 25.09.20
Клиническая геронтология,1607-2499,14.01.28; 28.12.20; 16.10.20; 3.1.18; 3.1.20; 3.1.24; 3.1.27; 3.1.31; 01.02.20
Клиническая дерматология и венерология,1997-2849,14.03.09; 28.12.20; 16.10.20; 3.1.23; 3.1.33; 3.3.8; 01.02.20; 3.2.7; 13.10.20
Клиническая и специальная психология,2304-0394,19.00.04; 19.00.13; 28.12.20; 16.10.20; 5.3.7; 5.3.8; 15.02.20; 5.3.6; 12.02.20
Клиническая и экспериментальная морфология,2226-5988,1.5.22; 3.3.2; 01.02.20
Клиническая и экспериментальная тиреоидология,1995-5472,
Клиническая и экспериментальная хирургия. Журнал им. акад. Б.В. Петровского,2308-1198,3.1.9; 3.1.15; 01.02.20; 1.5.7; 22.11.20; 3.1.14; 3.3.2
Клиническая лабораторная диагностика,0869-2084,1.5.11; 1.5.11; 3.2.7; 3.2.7; 3.3.8; 3.3.8; 11.12.20
Клиническая медицина,0023-2149,3.1.9; 3.1.15; 3.1.18; 3.1.19; 3.1.20; 3.1.22; 3.1.24; 3.1.27; 3.1.28; 3.1.29; 3.1.30; 3.1.32; 13.07.20
Клиническая микробиология и антимикробная химиотерапия,1684-4386,14.03.07; 14.03.07; 26.03.20; 16.10.20; 14.02.02; 14.02.02; 14.03.03; 14.03.03; 14.03.04; 14.04.01; 26.03.20; 08.12.20; 14.04.02; 14.04.02; 14.04.03; 14.03.09; 09.12.20; 16.10.20; 1.5.11; 1.5.11
Клиническая нефрология,2075-3594,3.1.18; 3.1.20; 3.1.32; 01.02.20
Клиническая онкогематология. Фундаментальные исследования и клиническая практика,1997-6933,14.03.09; 14.03.07; 14.03.07; 03.03.03; 14.03.09; 26.03.20; 16.10.20; 3.1.28; 1.5.5; 3.3.2; 01.02.20; 3.3.2; 3.3.6; 3.3.6; 3.3.8; 3.3.8; 1.5.3; 1.5.7; 3.1.6; 3.1.6
Клиническая практика,2220-3095,14.01.13; 14.03.09; 28.12.20; 16.10.20; 3.1.5; 3.1.6; 3.1.7; 3.1.8; 3.1.9; 3.1.15; 3.1.20; 3.1.24; 3.1.29; 3.1.33; 3.3.8; 3.3.8; 01.02.20; 1.5.4; 3.1.25; 3.2.7
Клиническая стоматология,1811-153X,3.1.7; 01.02.20; 1.5.11; 3.1.2; 3.3.1; 26.01.20
Клиническая фармакология и терапия,0869-5490,3.1.18; 3.1.20; 3.1.32; 3.3.6; 01.02.20
Клиническая физиология кровообращения,1814-6910,14.01.13; 28.12.20; 16.10.20; 3.1.12; 3.1.15; 3.1.18; 3.1.20; 01.02.20
Клинический вестник ФГБУ ГНЦ ФМБЦ им. А.И. Бурназяна ФМБА России,2782-6430,3.1.6; 3.1.9; 3.1.18; 3.1.33; 10.06.20
Клинический разбор в общей медицине,2713-2552,3.1.18; 3.1.20; 3.1.24; 17.06.20; 3.1.4; 3.1.30; 10.06.20
Когнитивные исследования языка,2071-9639,10.01.03; 10.02.01; 10.02.04; 10.02.05; 10.02.19; 10.02.20; 26.03.20; 16.10.20; 5.9.2; 5.9.5; 5.9.6; 5.9.8; 5.9.9; 5.12.3; 20.12.20
Коллекция гуманитарных исследований,2500-3585,5.3.4; 5.3.5; 5.4.4; 30.10.20
Колопроктология,2073-7556,14.01.13; 28.12.20; 16.10.20; 14.01.28; 15.10.20; 16.10.20; 3.1.6; 3.1.9; 3.1.11; 3.3.2; 01.02.20; 1.5.7; 1.5.7; 3.1.25; 3.1.30; 14.04.20; 05.18.01; 05.18.12; 06.02.05; 06.02.08
Коммуникативные исследования,2413-6162,10.01.01; 10.01.10; 10.02.01; 10.02.04; 10.02.19; 10.02.20; 10.02.21; 28.12.20; 16.10.20; 5.9.3; 01.02.20; 5.9.1; 5.9.5; 5.9.8; 5.9.9; 5.9.9; 07.03.20
Коммуникология,2311-3065,22.00.03; 23.00.01; 23.00.06; 24.00.01; 24.00.01; 28.12.20; 16.10.20; 5.4.1; 5.4.4; 5.4.5; 5.4.6; 5.4.7; 01.02.20; 5.5.2; 5.4.2; 5.4.2; 5.5.1; 5.9.9; 5.9.9; 5.9.9
Компетентность,1993-8780,05.02.22; 08.00.05; 26.03.20; 16.10.20; 2.2.4; 2.2.10; 01.02.20; 2.5.22; 5.2.3; 5.2.6; 26.01.20
Комплексные проблемы сердечно-сосудистых заболеваний,2306-1278,3.1.15; 3.1.18; 3.1.20; 01.02.20; 3.3.3; 3.3.3; 13.10.20; 3.2.3; 15.06.20
Компрессорная техника и пневматика,2413-3035,05.04.02; 05.04.06; 05.04.12; 05.04.13; 26.03.20; 16.10.20; 2.4.8; 01.02.20
Компьютерные инструменты в образовании,2071-2340,05.13.17; 05.13.17; 28.12.20; 16.10.20; 1.2.2; 2.3.5; 2.3.5; 01.02.20; 1.1.5; 1.1.6; 1.2.3; 2.3.8; 20.03.20
Компьютерные исследования и моделирование,2076-7633,01.01.02; 01.01.03; 01.01.09; 28.12.20; 16.10.20; 01.02.01; 01.02.08; 1.1.6; 1.1.8; 1.1.9; 01.02.20; 1.3.8; 1.4.1; 1.4.4; 1.4.6; 1.4.15; 01.02.20
Коневодство и конный спорт,0023-3285,06.02.06; 06.02.07; 06.02.10; 28.12.20; 16.10.20; 4.2.4; 4.2.5; 4.2.5; 1.5.5; 1.5.20; 20.03.20
Конкурентное право,2225-8302,12.00.03; 12.00.07; 28.12.20; 16.10.20; 5.1.3; 23.09.20; 5.1.2; 27.05.20
"Конкурентоспособность в глобальном мире: экономика, наука, технологии",2412-883X,5.2.1; 5.2.3; 5.2.5; 23.11.20
Конституционное и муниципальное право,1812-3767,12.00.02; 28.12.20; 16.10.20; 5.1.2; 23.09.20
Конструкции из композиционных материалов – межотраслевой научно- технический журнал,2073-2589,05.07.07; 05.17.06; 26.03.20; 16.10.20; 2.5.13; 2.5.14; 2.5.15; 2.6.5; 2.6.14; 01.02.20; 2.6.11; 07.03.20
Консультативная психология и психотерапия,2075-3470,19.00.01; 19.00.04; 19.00.04; 28.12.20; 16.10.20; 3.2.5; 01.02.20; 5.3.1; 5.3.6; 5.3.7; 26.01.20
Контекст и рефлексия: философия о мире и человеке,2223-5485,5.7.1; 5.7.2; 5.7.3; 5.7.4; 5.7.6; 5.7.7; 5.7.8; 5.7.9; 01.02.20; 30.03.20
Контроллинг,1998-6157,08.00.05; 08.00.13; 26.03.20; 16.10.20; 5.2.2; 5.2.3; 5.2.6; 21.02.20
Контроль. Диагностика,0201-7032,05.02.11; 05.02.23; 05.11.06; 05.11.10; 05.11.14; 28.12.20; 16.10.20; 2.2.4; 01.02.20; 2.2.6; 2.2.8; 2.2.10; 2.2.11; 2.2.12; 2.5.8; 2.5.9; 2.5.22; 15.02.20
Контроль качества продукции,2541-9900,05.02.23; 26.12.20; 16.10.20; 2.5.22; 22.11.20; 5.2.3; 17.07.20
"Контуры глобальных трансформаций: политика, экономика, право",2542-0240,23.00.01; 28.12.20; 16.10.20; 5.2.5; 5.5.2; 5.5.4; 01.02.20
Конфликтология,1818-1198,23.00.06; 28.12.20; 16.10.20; 5.4.4; 5.7.7; 01.02.20
Конфликтология / nota bene,2454-0617,23.00.05; 23.00.06; 12.02.20; 16.10.20; 5.5.4; 5.6.7; 01.02.20; 5.5.1; 5.5.2; 5.5.3; 21.02.20
Копирайт (вестник Академии интеллектуальной собственности),2307-2741,08.00.05; 12.00.03; 28.12.20; 16.10.20; 5.1.3; 5.2.3; 28.11.20
"Концепт: философия, религия, культура",2541-8831,24.00.01; 12.02.20; 16.10.20; 24.00.01; 18.07.20; 16.10.20; 5.7.8; 5.7.9; 01.02.20; 5.10.1; 5.10.1; 20.12.20
Кормление сельскохозяйственных животных и кормопроизводство,2075-1524,06.02.08; 06.02.08; 28.12.20; 16.10.20; 06.02.10; 06.02.10; 4.2.4; 4.2.4; 13.10.20
Кормопроизводство,1562-0417,05.02.13; 06.01.05; 06.01.06; 06.01.07; 06.02.08; 28.12.20; 16.10.20; 4.1.1; 01.02.20; 4.1.2; 4.2.4; 11.04.20
"Корпоративное управление и инновационное развитие экономики Севера: Вестник Научно-исследовательского центра корпоративного права, управления и венчурного инвестирования Сыктывкарского государственного университета",2070-4992,08.00.05; 28.12.20; 16.10.20; 5.2.4; 01.02.20; 5.2.3; 20.12.20; 5.2.6
Корпоративные финансы,2073-0438,08.00.05; 28.12.20; 16.10.20; 5.2.1; 5.2.4; 01.02.20
Космическая техника и технологии,2308-7625,05.07.06; 05.07.07; 05.07.10; 26.03.20; 16.10.20; 2.3.1; 2.5.12; 2.5.13; 2.5.14; 2.5.15; 2.5.16; 01.02.20
Космические аппараты и технологии,2618-7957,01.02.06; 05.07.06; 05.07.07; 05.07.10; 11.07.20; 16.10.20; 1.1.8; 01.02.20; 1.1.9; 2.2.14; 2.2.15; 2.2.16; 2.5.13; 2.5.16; 2.2.13; 2.5.6; 2.5.12; 2.5.14; 2.5.15; 20.03.20
Космонавтика и ракетостроение,1994-3210,01.02.06; 05.07.06; 05.07.07; 05.07.10; 28.12.20; 16.10.20; 1.1.8; 1.1.9; 2.5.12; 2.5.13; 2.5.14; 01.02.20; 2.5.15; 2.5.16; 1.1.7; 1.1.8; 1.1.9; 13.10.20; 2.2.16; 01.02.20
Костюмология,2587-8026,05.19.01; 05.19.04; 05.19.05; 17.00.04; 17.00.06; 17.00.06; 12.02.20; 16.10.20; 2.6.16; 5.10.3; 11.04.20
Краткие сообщения Института археологии,0130-2620,5.6.3; 01.02.20
Креативная кардиология,1997-3187,14.01.13; 28.12.20; 16.10.20; 3.1.15; 3.1.18; 3.1.20; 01.02.20; 3.1.25; 13.10.20
Креативная хирургия и онкология,2076-3093,3.1.6; 3.1.9; 01.02.20
Креативная экономика,1994-6929,08.00.05; 28.12.20; 16.10.20; 5.2.1; 01.02.20; 14.02.03; 14.03.09; 28.12.20; 16.10.20; 14.01.06; 14.01.13; 15.10.20; 16.10.20; 3.1.3; 3.1.4; 3.1.6; 3.1.7; 3.1.8; 3.1.9; 3.1.11
Крестьяноведение,2500-1809,5.2.1; 5.4.2; 5.6.1; 21.02.20
КриминалистЪ,2686-7753,12.00.01; 12.00.02; 12.00.08; 12.00.09; 12.00.11; 12.00.12; 21.04.20; 16.10.20; 5.1.1; 5.1.2; 5.1.4; 08.02.20
"Криминалистика: вчера, сегодня, завтра",2587-9820,12.00.09; 12.00.12; 04.02.20; 16.10.20; 5.1.4; 23.09.20
Криминологический журнал,2687-0185,5.1.2; 5.1.4; 5.2.3; 01.11.20
Кролиководство и звероводство,0023-4885,06.02.01; 06.02.03; 06.02.06; 06.02.07; 06.02.08; 06.02.09; 06.02.10; 28.12.20; 16.10.20; 1.5.7; 1.5.10; 1.5.11; 1.5.20; 4.2.3; 01.02.20; 1.5.8; 1.5.24; 13.10.20; 4.2.4; 4.2.5
Крымский журнал экспериментальной и клинической медицины,2224-6444,
Крымский терапевтический журнал,2307-5236,14.01.28; 28.12.20; 16.10.20; 3.1.20; 3.1.29; 01.02.20; 3.1.30; 22.11.20
Кубанский научный медицинский вестник,1608-6228,14.01.13; 14.03.09; 28.12.20; 16.10.20; 14.02.03; 15.10.20; 16.10.20; 3.1.3; 3.1.4; 3.1.6; 3.1.7; 3.1.9; 3.1.12; 3.1.15; 3.1.18; 3.1.20; 3.1.21; 3.1.23; 3.1.24; 3.3.2
Кузнечно-штамповочное производство. Обработка материалов давлением,0234-8241,05.02.02; 05.02.11; 08.00.05; 28.12.20; 16.10.20; 2.5.5; 2.5.6; 2.5.7; 2.6.1; 2.6.4; 2.6.5; 2.6.6; 2.6.17; 01.02.20
Культура и безопасность,2712-8997,5.7.7; 5.10.1; 5.10.1; 20.02.20
Культура и искусство,2222-1956,17.00.05; 17.00.06; 17.00.09; 24.00.01; 28.12.20; 16.10.20; 5.7.1; 5.7.2; 5.7.3; 5.7.4; 5.7.5; 5.7.6; 5.7.7; 01.02.20; 5.7.8; 5.7.9; 5.10.2; 5.7.8; 5.7.9; 5.10.1
Культура и образование: научно-информационный журнал вузов культуры и искусств,2310-1679,13.00.05; 24.00.01; 24.00.01; 28.12.20; 16.10.20; 10.01.01; 04.02.20; 16.10.20; 5.8.1; 5.8.7; 5.9.3; 01.02.20; 5.8.2; 5.9.1; 5.9.2; 5.10.1; 5.10.1; 5.10.1; 20.03.20; 5.10.4
Культура и текст,2305-4077,10.01.01; 10.02.01; 10.02.04; 10.02.19; 24.00.01; 28.12.20; 16.10.20; 5.9.3; 5.9.4; 01.02.20; 5.9.1; 5.9.5; 5.9.6; 5.9.8; 5.10.1; 5.10.1; 21.02.20
Культура и цивилизация,2223-5426,24.00.01; 28.12.20; 16.10.20; 5.10.1; 5.10.1; 5.10.3; 29.03.20
Культура и цивилизация (Донецк),2522-9788,5.5.1; 5.5.1; 5.7.7; 30.03.20; 5.7.8; 5.7.8
Культура Мира,2949-2521,5.5.2; 5.10.1; 17.07.20
Культура физическая и здоровье,1999-3455,13.00.04; 28.12.20; 16.10.20; 3.1.33; 01.02.20; 5.8.4; 5.8.5; 5.8.6; 21.02.20
"Культура: управление, экономика, право",2070-2159,12.00.02; 12.00.12; 28.12.20; 16.10.20; 5.1.2; 23.09.20
Культурная жизнь Юга России,2070-075X,05.25.05; 17.00.01; 17.00.02; 17.00.03; 17.00.04; 17.00.05; 17.00.06; 28.12.20; 16.10.20; 17.00.09; 17.00.09; 24.00.01; 24.00.01; 24.00.01; 24.00.01; 5.10.2; 5.10.2; 5.10.2; 01.02.20; 5.10.1
Культурное наследие России,2308-2062,17.00.09; 24.00.01; 24.00.01; 28.12.20; 16.10.20; 5.6.1; 5.10.2; 01.02.20; 5.10.1; 5.10.1; 01.11.20
Культурно-историческая психология,1816-5435,19.00.05; 19.00.13; 28.12.20; 16.10.20; 5.3.1; 5.3.4; 01.02.20; 5.3.5; 5.3.7; 5.12.1; 5.12.1; 20.03.20; 5.3.6; 23.01.20
Культурный код,2658-3852,5.6.1; 5.6.5; 5.10.1; 5.10.1; 5.10.2; 5.10.3; 21.02.20
Кунсткамера,2618-8619,5.6.1; 5.6.3; 5.6.4; 5.6.5; 5.6.6; 5.10.2; 5.10.2; 01.02.20
Курортная медицина,2304-0343,3.1.33; 01.02.20
Культурологический журнал / Journal of Cultural Research,2222-2480,5.6.1; 5.6.3; 19.12.20; 5.10.1; 5.10.2
Лабораторная и клиническая медицина. Фармация,2712-9330,3.3.2; 3.3.2; 3.3.8; 3.3.8; 3.4.3; 12.03.20
Лабораторная служба,2305-2198,3.3.8; 01.02.20
Лабораторные животные для научных исследований,2618-723X,06.02.01; 06.02.01; 09.03.20; 16.10.20; 3.3.3; 3.3.3; 3.3.6; 3.3.6; 01.02.20; 4.2.1; 4.2.1; 07.12.20
Лазерная медицина,2071-8004,3.1.9; 01.02.20
Лакокрасочные материалы и их применение,0130-9013,1.4.3; 1.4.7; 01.02.20; 1.4.7; 2.6.9; 2.6.9; 14.12.20; 2.6.11; 2.6.11; 5.2.5; 5.5.2; 5.5.4; 5.6.2; 5.6.4; 5.6.7; 01.02.20
Латиноамериканский исторический альманах,2713-0282,5.5.1; 5.5.2; 5.5.4; 5.6.2; 5.6.5; 5.6.7; 27.03.20
Ленинградский юридический журнал,1813-6230,12.00.01; 12.00.02; 12.00.03; 12.00.04; 12.00.05; 12.00.06; 28.12.20; 16.10.20; 12.00.07; 12.00.08; 12.00.09; 12.00.10; 12.00.11; 12.00.12; 12.00.13; 12.00.14; 12.00.15; 5.1.1; 5.1.2; 5.1.3
Леса России и хозяйство в них,2218-7545,4.1.6; 4.1.6; 4.1.6; 4.3.4; 4.3.4; 26.01.20; 4.3.4; 11.05.20
Лесной вестник / Forestry bulletin (До 11.05.2017 г. наименование в Перечне «Вестник Московского государственного университета леса – Лесной вестник» ISSN,1727-3749,
Лесоведение,0024-1148,06.03.01; 06.03.02; 06.03.03; 28.12.20; 16.10.20; 1.5.9; 01.02.20; 1.5.11; 1.5.14; 1.5.15; 1.5.19; 1.5.20; 1.5.7; 4.1.6; 11.04.20
Лесотехнический журнал,2222-7962,05.21.01; 05.21.05; 06.03.01; 06.03.01; 06.03.02; 06.03.02; 06.03.03; 28.12.20; 16.10.20; 1.5.15; 01.02.20; 4.1.6; 4.1.6; 4.1.6; 4.3.4; 4.3.4; 17.06.20; 4.3.4
