post_id,year,tier,is_outlier,score,percentile
1400,2016,low,0,1.0,0.1321
1410,2016,low,0,1.0,0.1338
1489,2016,low,0,1.0,0.1354
1496,2016,low,0,1.0,0.137
1499,2016,low,0,1.0,0.1387
1503,2016,low,0,1.0,0.1403
1515,2016,low,0,1.0,0.1419
1519,2016,low,0,1.0,0.1436
1542,2016,low,0,1.0,0.1452
1549,2016,low,0,1.0,0.1468
1561,2016,low,0,1.0,0.1485
1566,2016,low,0,1.0,0.1501
1592,2016,low,0,1.0,0.1517
1596,2016,low,0,1.0,0.1533
1599,2016,low,0,1.0,0.155
1625,2016,low,0,1.0,0.1566
1628,2016,low,0,1.0,0.1582
1633,2016,low,0,1.0,0.1599
1702,2016,low,0,1.0,0.1615
1722,2016,low,0,1.0,0.1631
1727,2016,low,0,1.0,0.1648
1731,2016,low,0,1.0,0.1664
1774,2016,low,0,1.0,0.168
1799,2016,low,0,1.0,0.1697
1850,2016,low,0,1.0,0.1713
1854,2016,low,0,1.0,0.1729
1855,2016,low,0,1.0,0.1746
886,2016,low,0,2.0,0.1762
916,2016,low,0,2.0,0.1778
938,2016,low,0,2.0,0.1794
940,2016,low,0,2.0,0.1811
959,2016,low,0,2.0,0.1827
972,2016,low,0,2.0,0.1843
983,2016,low,0,2.0,0.186
1001,2016,low,0,2.0,0.1876
1043,2016,low,0,2.0,0.1892
1045,2016,low,0,2.0,0.1909
1050,2016,low,0,2.0,0.1925
1059,2016,low,0,2.0,0.1941
1084,2016,low,0,2.0,0.1958
1089,2016,low,0,2.0,0.1974
1091,2016,low,0,2.0,0.199
1097,2016,low,0,2.0,0.2007
1099,2016,low,0,2.0,0.2023
1100,2016,low,0,2.0,0.2039
1103,2016,low,0,2.0,0.2055
1104,2016,low,0,2.0,0.2072
1112,2016,low,0,2.0,0.2088
1115,2016,low,0,2.0,0.2104
1122,2016,low,0,2.0,0.2121
1157,2016,low,0,2.0,0.2137
1190,2016,low,0,2.0,0.2153
1239,2016,low,0,2.0,0.217
1260,2016,low,0,2.0,0.2186
1284,2016,low,0,2.0,0.2202
1314,2016,low,0,2.0,0.2219
1338,2016,low,0,2.0,0.2235
