person_id,display_name,n_talks,years,series,raw_affils,source_url
PERS_23abae7d,Пушкарева Юлия Георгиевна,1,2026,Zograf Readings / Зографские чтения,Москва,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=15292&option=com_content&task=view
PERS_4ebb20aa,С. В. Кардинская,1,2012,Zograf Readings / Зографские чтения,Ижевск,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=3036&option=com_content&task=view
PERS_f82b6a8e,Сенина Наталья Викторовна,1,2025,Zograf Readings / Зографские чтения,Москва,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=15177&option=com_content&task=view
PERS_a0f3d86d,Сергеева Варвара Алексеевна,1,2026,Zograf Readings / Зографские чтения,Москва,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=15292&option=com_content&task=view
PERS_1130c736,Серебряный Сергей Дмитриевич,1,2020,Zograf Readings / Зографские чтения,Москва,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=12981&option=com_content&task=view
PERS_58e18506,Соколова Ирина Александровна,1,2026,Zograf Readings / Зографские чтения,Санкт-Петербург,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=15292&option=com_content&task=view
PERS_5bbfea37,Т. Т. Скороходова,1,2006,Zograf Readings / Зографские чтения,Пенза,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=1251&option=com_content&task=view
PERS_168a3a8b,Усенко Иван Сергеевич,1,2026,Zograf Readings / Зографские чтения,Москва,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=15292&option=com_content&task=view
PERS_936e1165,Файбушевич Светлана Ивановна,1,2026,Zograf Readings / Зографские чтения,Москва,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=15292&option=com_content&task=view
PERS_a638a4b3,Федорова Наталья Леонидовна,1,2026,Zograf Readings / Зографские чтения,Москва,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=15292&option=com_content&task=view
PERS_874cbfb7,Шарапова А. В.,1,2021,Zograf Readings / Зографские чтения,Санкт-Петербург,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=14119&option=com_content&task=view
PERS_23f54085,Э. И. Введенская,1,2019,Zograf Readings / Зографские чтения,Вриндаван,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=10154&option=com_content&task=view
