group,bigram,display_bigram,count,per_100_titles
Roerich Readings,буддизм храм,буддизм храм,2,0.42
Roerich Readings,символический язык,символический язык,2,0.42
Roerich Readings,буддизм ваджраяна,буддизм ваджраяна,2,0.42
Roerich Readings,монарший портрет,монарший портрет,2,0.42
Roerich Readings,индия текст,индийские тексты,2,0.42
Roerich Readings,диалект тибет,диалект Тибет,2,0.42
Roerich Readings,существование субъект,существование субъект,2,0.42
Roerich Readings,культ нарасинх,культ нарасинх,2,0.42
Roerich Readings,нарасинх трактат,нарасинх трактат,2,0.42
Roerich Readings,язык непасть,язык непасть,2,0.42
Roerich Readings,священный текст,священный текст,2,0.42
Roerich Readings,язык пали,язык пали,2,0.42
Roerich Readings,между буддист,между буддист,2,0.42
Roerich Readings,первый известный,первый известный,2,0.42
