source,target,weight,topics,edge_type
Artur Karp,Dipak Bhattacharya,22,Digital resources and tools|General scholarly discussion|History and culture,thread_coparticipation
Lubomír Ondračka,Madhav Deshpande,22,Bibliographic requests|Buddhism and Jainism|Digital resources and tools|General scholarly discussion|Texts and philology|Veda and ritual,thread_coparticipation
Nagaraj Paturi,alakendu das,22,Buddhism and Jainism|General scholarly discussion|Texts and philology,thread_coparticipation
Harry Spier,Walter Slaje,22,Digital resources and tools|General scholarly discussion|Grammar and linguistics|Manuscripts and epigraphy|Texts and philology|Veda and ritual,thread_coparticipation
DEVARAKONDA VENKATA NARAYANA SARMA,Lars Martin Fosse,22,General scholarly discussion|Veda and ritual,thread_coparticipation
Andrew Ollett,Dominik Wujastyk,22,Digital resources and tools|General scholarly discussion|Grammar and linguistics|History and culture|Manuscripts and epigraphy|Veda and ritual,thread_coparticipation
Dominik Wujastyk,Swaminathan Madhuresan,22,Announcements and events|Bibliographic requests|General scholarly discussion|History and culture,thread_coparticipation
Lakshmi Srinivas,Swaminathan Madhuresan,21,Bibliographic requests|General scholarly discussion|History and culture|Texts and philology,thread_coparticipation
Lars Martin Fosse,Yaroslav V. Vassilkov,21,General scholarly discussion|Veda and ritual,thread_coparticipation
Madhav Deshpande,"Tieken, H.J.H.",21,Bibliographic requests|Buddhism and Jainism|General scholarly discussion|Texts and philology,thread_coparticipation
Antonia Ruppel,Harry Spier,21,Digital resources and tools|General scholarly discussion|Grammar and linguistics,thread_coparticipation
Dominique.Thillaud,S Krishna,21,General scholarly discussion|History and culture,thread_coparticipation
Stephen Hodge,Venkatraman Iyer,21,General scholarly discussion,thread_coparticipation
Allen W Thrasher,Dipak Bhattacharya,21,Announcements and events|Buddhism and Jainism|General scholarly discussion|History and culture|Texts and philology,thread_coparticipation
Arlo Griffiths,Christophe Vielle,21,Announcements and events|Bibliographic requests|General scholarly discussion|Manuscripts and epigraphy|Texts and philology|Veda and ritual,thread_coparticipation
Luis Gonzalez-Reimann,Vidyasankar Sundaresan,21,General scholarly discussion,thread_coparticipation
Lars Martin Fosse,Sudalaimuthu Palaniappan,21,General scholarly discussion|History and culture,thread_coparticipation
Dipak Bhattacharya,Madhav Deshpande,21,Bibliographic requests|General scholarly discussion|Grammar and linguistics|Manuscripts and epigraphy|Veda and ritual,thread_coparticipation
Nagaraj Paturi,rajam,21,General scholarly discussion|Grammar and linguistics|Texts and philology,thread_coparticipation
Antonia Ruppel,Dominik Wujastyk,21,Digital resources and tools|General scholarly discussion|History and culture,thread_coparticipation
Dominik Wujastyk,alakendu das,20,Buddhism and Jainism|General scholarly discussion|Manuscripts and epigraphy|Veda and ritual,thread_coparticipation
Madhav Deshpande,Vidyasankar Sundaresan,20,Bibliographic requests|General scholarly discussion|Veda and ritual,thread_coparticipation
Artur Karp,George Thompson,20,General scholarly discussion|Veda and ritual,thread_coparticipation
David and Nancy Reigle,Harry Spier,20,Bibliographic requests|General scholarly discussion|Grammar and linguistics|Texts and philology|Veda and ritual,thread_coparticipation
DEVARAKONDA VENKATA NARAYANA SARMA,Vidyasankar Sundaresan,20,General scholarly discussion|Veda and ritual,thread_coparticipation
