source,target,weight,topics,edge_type
Dominik Wujastyk,Richard Salomon,20,General scholarly discussion|History and culture|Manuscripts and epigraphy,thread_coparticipation
Andrew Ollett,Matthew Kapstein,20,General scholarly discussion|Grammar and linguistics|History and culture,thread_coparticipation
Matthew Kapstein,patrick mccartney,20,Bibliographic requests|General scholarly discussion|Veda and ritual,thread_coparticipation
Ashish Chandra,N. Ganesan,20,General scholarly discussion,thread_coparticipation
Robert Zydenbos,Sudalaimuthu Palaniappan,20,General scholarly discussion|History and culture,thread_coparticipation
Madhav Deshpande,N. Ganesan,20,General scholarly discussion|Grammar and linguistics,thread_coparticipation
Lars Martin Fosse,Vishal Agarwal,20,General scholarly discussion|Veda and ritual,thread_coparticipation
Ashok Aklujkar,Madhav Deshpande,20,Bibliographic requests|General scholarly discussion|Grammar and linguistics|History and culture|Texts and philology|Veda and ritual,thread_coparticipation
Dominik Wujastyk,Philipp Maas,20,Bibliographic requests|Buddhism and Jainism|General scholarly discussion|Veda and ritual,thread_coparticipation
Allen W Thrasher,jkirk,20,Buddhism and Jainism|Digital resources and tools|General scholarly discussion,thread_coparticipation
Jacob Baltuch,Lars Martin Fosse,20,General scholarly discussion|Texts and philology|Veda and ritual,thread_coparticipation
Madhav Deshpande,Martin Gansten,20,Digital resources and tools|General scholarly discussion|Grammar and linguistics|History and culture|Manuscripts and epigraphy|Texts and philology,thread_coparticipation
Ashok Aklujkar,Dipak Bhattacharya,20,General scholarly discussion|History and culture|Manuscripts and epigraphy,thread_coparticipation
George Thompson,Madhav Deshpande,20,Bibliographic requests|Digital resources and tools|General scholarly discussion|Texts and philology|Veda and ritual,thread_coparticipation
Nagaraj Paturi,Walter Slaje,19,Announcements and events|Bibliographic requests|General scholarly discussion|Grammar and linguistics|Texts and philology|Veda and ritual,thread_coparticipation
Howard Resnick,Madhav Deshpande,19,Bibliographic requests|General scholarly discussion|History and culture|Texts and philology,thread_coparticipation
Georg von Simson,N. Ganesan,19,Announcements and events|General scholarly discussion,thread_coparticipation
Dominik Wujastyk,McComas Taylor,19,General scholarly discussion|Grammar and linguistics|History and culture|Texts and philology|Veda and ritual,thread_coparticipation
Arun Gupta,Steve Farmer,19,General scholarly discussion|History and culture,thread_coparticipation
Dominik Wujastyk,Richard Mahoney,19,Digital resources and tools|General scholarly discussion|Manuscripts and epigraphy,thread_coparticipation
Dominik Wujastyk,Robert Goldman,19,General scholarly discussion|Texts and philology,thread_coparticipation
Jonathan Silk,Peter Wyzlic,19,Digital resources and tools|General scholarly discussion|Texts and philology,thread_coparticipation
Michael Witzel,Paul Kekai Manansala,19,General scholarly discussion|Grammar and linguistics|Veda and ritual,thread_coparticipation
Andrew Ollett,Harry Spier,19,Bibliographic requests|Digital resources and tools|General scholarly discussion|Grammar and linguistics,thread_coparticipation
Jesse Knutson,Matthew Kapstein,19,General scholarly discussion|History and culture,thread_coparticipation
N. Ganesan,Vishal Agarwal,19,General scholarly discussion,thread_coparticipation
Srinivasan Pichumani,Vidyasankar Sundaresan,19,General scholarly discussion,thread_coparticipation
Nagaraj Paturi,Sudalaimuthu Palaniappan,19,Bibliographic requests|General scholarly discussion|Texts and philology,thread_coparticipation
Matthew Kapstein,Valerie Roebuck,19,Digital resources and tools|General scholarly discussion|Texts and philology,thread_coparticipation
George Thompson,Steve Farmer,19,General scholarly discussion|History and culture|Veda and ritual,thread_coparticipation
Anshuman Pandey,Dominik Wujastyk,19,Bibliographic requests|Digital resources and tools|General scholarly discussion,thread_coparticipation
Dipak Bhattacharya,Walter Slaje,19,Bibliographic requests|Buddhism and Jainism|Digital resources and tools|General scholarly discussion|History and culture|Texts and philology,thread_coparticipation
Arun Gupta,Vidyasankar Sundaresan,19,General scholarly discussion|History and culture,thread_coparticipation
Jonathan Silk,Stephen Hodge,19,Bibliographic requests|Digital resources and tools|General scholarly discussion|Texts and philology,thread_coparticipation
Michael Witzel,N. Ganesan,19,General scholarly discussion|Veda and ritual,thread_coparticipation
Matthew Kapstein,Walter Slaje,19,Announcements and events|Bibliographic requests|Digital resources and tools|General scholarly discussion|History and culture|Manuscripts and epigraphy,thread_coparticipation
Bijoy Misra,Lars Martin Fosse,19,General scholarly discussion|Grammar and linguistics|History and culture,thread_coparticipation
"Deshpande, Madhav",Dominik Wujastyk,18,Bibliographic requests|Buddhism and Jainism|Digital resources and tools|General scholarly discussion|Grammar and linguistics|History and culture|Teaching and pedagogy,thread_coparticipation
Dominik Wujastyk,"Gruenendahl, Reinhold",18,Bibliographic requests|Digital resources and tools|General scholarly discussion|Texts and philology,thread_coparticipation
Dominik Wujastyk,Steve Farmer,18,Bibliographic requests|General scholarly discussion|History and culture|Texts and philology|Veda and ritual,thread_coparticipation
Dipak Bhattacharya,George Hart,18,Digital resources and tools|General scholarly discussion|History and culture|Texts and philology|Veda and ritual,thread_coparticipation
George Thompson,N. Ganesan,18,General scholarly discussion,thread_coparticipation
Dominique.Thillaud,N. Ganesan,18,General scholarly discussion|History and culture,thread_coparticipation
Michael Witzel,Stephen Hodge,18,General scholarly discussion|Manuscripts and epigraphy|Veda and ritual,thread_coparticipation
Herman Tull,Matthew Kapstein,18,General scholarly discussion|Grammar and linguistics|History and culture,thread_coparticipation
Jan E.M. Houben,Walter Slaje,18,Bibliographic requests|Digital resources and tools|General scholarly discussion|History and culture|Manuscripts and epigraphy|Texts and philology|Veda and ritual,thread_coparticipation
N. Ganesan,Rajarshi Banerjee,18,General scholarly discussion,thread_coparticipation
Lubomír Ondračka,Nagaraj Paturi,18,Bibliographic requests|General scholarly discussion,thread_coparticipation
Lars Martin Fosse,Samar Abbas,18,General scholarly discussion|History and culture,thread_coparticipation
George Hart,George Thompson,18,Digital resources and tools|General scholarly discussion|History and culture|Veda and ritual,thread_coparticipation
C.R. Selvakumar,N. Ganesan,18,General scholarly discussion|History and culture,thread_coparticipation
Dipak Bhattacharya,Nagaraj Paturi,18,Bibliographic requests|Digital resources and tools|General scholarly discussion|Veda and ritual,thread_coparticipation
Asko Parpola,Christophe Vielle,18,General scholarly discussion|Manuscripts and epigraphy,thread_coparticipation
Madhav Deshpande,Michael Witzel,18,Announcements and events|General scholarly discussion|Manuscripts and epigraphy|Texts and philology|Veda and ritual,thread_coparticipation
Klaus Karttunen,Lars Martin Fosse,18,General scholarly discussion|Veda and ritual,thread_coparticipation
Roland Steiner,Walter Slaje,18,Announcements and events|Digital resources and tools|General scholarly discussion|Manuscripts and epigraphy|Texts and philology,thread_coparticipation
Dominik Wujastyk,patrick mccartney,18,Digital resources and tools|General scholarly discussion|History and culture|Texts and philology|Veda and ritual,thread_coparticipation
Birgit Kellner,Matthew Kapstein,18,Bibliographic requests|Digital resources and tools|General scholarly discussion|Manuscripts and epigraphy|Texts and philology,thread_coparticipation
George Thompson,Matthew Kapstein,18,General scholarly discussion|History and culture|Texts and philology,thread_coparticipation
Lars Martin Fosse,Steve Farmer,18,General scholarly discussion|Grammar and linguistics|History and culture|Veda and ritual,thread_coparticipation
Stephen Hodge,Steve Farmer,18,General scholarly discussion|Veda and ritual,thread_coparticipation
Dominik Wujastyk,Rosane Rocher,18,Digital resources and tools|General scholarly discussion|Manuscripts and epigraphy,thread_coparticipation
Matthew Kapstein,Roland Steiner,18,Announcements and events|Bibliographic requests|General scholarly discussion|Texts and philology,thread_coparticipation
Jonathan Silk,Patrick Olivelle,18,Bibliographic requests|Digital resources and tools|General scholarly discussion|Manuscripts and epigraphy,thread_coparticipation
Dominique.Thillaud,Jacob Baltuch,17,Bibliographic requests|General scholarly discussion,thread_coparticipation
Christophe Vielle,Dan Lusthaus,17,Bibliographic requests|Digital resources and tools|General scholarly discussion|History and culture|Manuscripts and epigraphy,thread_coparticipation
Lars Martin Fosse,Narayan S. Raja,17,General scholarly discussion|History and culture|Veda and ritual,thread_coparticipation
Harry Spier,Jan E.M. Houben,17,Bibliographic requests|General scholarly discussion|Grammar and linguistics|Texts and philology,thread_coparticipation
Dominik Wujastyk,Valerie Roebuck,17,Bibliographic requests|Digital resources and tools|General scholarly discussion|Grammar and linguistics|Manuscripts and epigraphy|Texts and philology,thread_coparticipation
Jan E.M. Houben,Robert Zydenbos,17,General scholarly discussion,thread_coparticipation
Rajarshi Banerjee,Swaminathan Madhuresan,17,General scholarly discussion|History and culture|Texts and philology|Veda and ritual,thread_coparticipation
Martin Gansten,Matthew Kapstein,17,Digital resources and tools|General scholarly discussion|History and culture,thread_coparticipation
Dominik Wujastyk,Richard MAHONEY,17,Announcements and events|Digital resources and tools|General scholarly discussion|Manuscripts and epigraphy|Texts and philology,thread_coparticipation
Christophe Vielle,Peter Wyzlic,17,Bibliographic requests|Digital resources and tools|General scholarly discussion|Texts and philology,thread_coparticipation
N. Ganesan,Ramakrishnan Balasubramanian,17,General scholarly discussion|History and culture,thread_coparticipation
Madhav Deshpande,Shrikant Bahulkar,17,Digital resources and tools|General scholarly discussion|Manuscripts and epigraphy|Veda and ritual,thread_coparticipation
Artur Karp,Madhav Deshpande,17,Digital resources and tools|General scholarly discussion,thread_coparticipation
Dominik Wujastyk,George Cardona,17,Announcements and events|Digital resources and tools|General scholarly discussion|Manuscripts and epigraphy|Veda and ritual,thread_coparticipation
Christophe Vielle,"Olivelle, J P",17,General scholarly discussion|Grammar and linguistics,thread_coparticipation
Nagaraj Paturi,"Olivelle, J P",17,General scholarly discussion|Veda and ritual,thread_coparticipation
Lars Martin Fosse,Sn. Subrahmanya,17,General scholarly discussion|Grammar and linguistics|Veda and ritual,thread_coparticipation
Michael Witzel,S.Kalyanaraman,17,General scholarly discussion|Grammar and linguistics|Veda and ritual,thread_coparticipation
Arlo Griffiths,"Lubin, Tim",17,Bibliographic requests|Buddhism and Jainism|General scholarly discussion|History and culture,thread_coparticipation
Madhav Deshpande,Rolf Heinrich Koch,17,General scholarly discussion|Grammar and linguistics|Manuscripts and epigraphy,thread_coparticipation
George Thompson,Herman Tull,17,Digital resources and tools|General scholarly discussion,thread_coparticipation
S Krishna,Sudalaimuthu Palaniappan,17,Digital resources and tools|General scholarly discussion,thread_coparticipation
Nagaraj Paturi,Valerie Roebuck,17,General scholarly discussion|Manuscripts and epigraphy|Texts and philology,thread_coparticipation
Michael Witzel,Steve Farmer,17,General scholarly discussion|Grammar and linguistics|Manuscripts and epigraphy|Veda and ritual,thread_coparticipation
