thread_root_id,curation_status,review_track,suggested_track,suggested_track_basis,case_type,short_title,public_note,why_it_matters,curator_comments,manual_reviewer,manual_review_date,review_notes
049255,candidate,,infrastructure_history,keyword match,general discussion,Correction and updates of Nirnay Sagar Fonts,,,,,,long thread; multi-author; resolved replies; thanks/correction language
043115,candidate,,,,general discussion,"Eating flesh of a jogi, a magician, a healer",,,,,,long thread; multi-author; resolved replies
016633,candidate,,,,general discussion,Axial Age,,,,,,long thread; multi-author; resolved replies
043666,candidate,,infrastructure_history,topic=Digital resources and tools,digital resource/tool,Unicode Devanagari on Mac,,,,,,long thread; multi-author; resolved replies
016480,candidate,,,,general discussion,Announcement: Nakamura index,,,,,,long thread; multi-author; resolved replies; request/help language; debate language
008368,candidate,,,,general discussion,epics comparison,,,,,,long thread; multi-author; resolved replies; thanks/correction language
008389,candidate,,,,general discussion,Brahman divisions,,,,,,long thread; multi-author; resolved replies
022850,candidate,,,,announcement,South Asia conference workshop -- Navigating between the oases of the Internet: SARAI and beyond,,,,,,long thread; multi-author; resolved replies; request/help language
024493,candidate,,,,general discussion,rAjalIlAsana in Cambodia?,,,,,,long thread; multi-author; resolved replies; request/help language
031664,candidate,,,,general discussion,Mahabhasya now available in Intratext version,,,,,,long thread; multi-author; resolved replies; request/help language
038715,candidate,,,,general discussion,Publication Announcement,,,,,,long thread; multi-author; resolved replies
001939,candidate,,infrastructure_history,keyword match,general discussion,"voting ""YES"" for a moderated list",,,,,,long thread; multi-author; resolved replies; request/help language
013170,candidate,,,,general discussion,double accusative (was Re: passive of causatives),,,,,,long thread; multi-author; resolved replies; request/help language
032223,candidate,,,,general discussion,two queries,,,,,,long thread; multi-author; resolved replies
028160,candidate,,,,general discussion,graaha/nakra/makara,,,,,,long thread; multi-author; resolved replies
015339,candidate,,,,general discussion,Kumarila Bhatta's criticism of false etymologies,,,,,,long thread; multi-author; resolved replies; request/help language
050025,candidate,,,,general discussion,Continuing my Krishna verses,,,,,,long thread; resolved replies
007722,candidate,,,,general discussion,`Conversational Sanskrit' vs `Real Sanskrit',,,,,,long thread; multi-author; resolved replies; request/help language
037857,candidate,,philological_substance,topic=Grammar and linguistics,philological debate,Sanskrit syntax,,,,,,long thread; multi-author; resolved replies; request/help language
056043,candidate,,,,general discussion,NGMCP images and copyright law,,,,,,long thread; multi-author; resolved replies
034326,candidate,,,,general discussion,critiques of sacrifice,,,,,,long thread; multi-author; resolved replies; request/help language
021690,candidate,,,,general discussion,Etymology of the words 'vedi' in ritual context,,,,,,long thread; multi-author; resolved replies
061850,candidate,,philological_substance,function=identification/help request,identification/help request,a question about the āśīrliṅ,,,,,,long thread; multi-author; resolved replies; request/help language
061392,candidate,,,,general discussion,Mahakavi Kalidas Samskritavrati Rashtriya Puraskar,,,,,,long thread; multi-author; resolved replies
024714,candidate,,,,general discussion,"Origins of the ""double-truth""",,,,,,long thread; multi-author; resolved replies
019130,candidate,,,,general discussion,bones and flesh,,,,,,long thread; multi-author; resolved replies
046589,candidate,,philological_substance,topic=Manuscripts and epigraphy,philological debate,Once again on the origin of zero: the date of the Bakhshali manuscript (or manuscripts?),,,,,,long thread; multi-author; resolved replies
022744,candidate,,philological_substance,topic=Texts and philology,general discussion,Ancient Indians and the science of flying,,,,,,long thread; multi-author; resolved replies; request/help language
