slug,year,month,month_name,message_count_index,message_count_mbox,gzip_kb_index,thread_url,date_url,gzip_url
2024-June,2024,6,June,156,156,107,https://list.indology.info/pipermail/indology/2024-June/thread.html,https://list.indology.info/pipermail/indology/2024-June/date.html,https://list.indology.info/pipermail/indology/2024-June.txt.gz
2024-July,2024,7,July,117,117,78,https://list.indology.info/pipermail/indology/2024-July/thread.html,https://list.indology.info/pipermail/indology/2024-July/date.html,https://list.indology.info/pipermail/indology/2024-July.txt.gz
2024-August,2024,8,August,105,105,74,https://list.indology.info/pipermail/indology/2024-August/thread.html,https://list.indology.info/pipermail/indology/2024-August/date.html,https://list.indology.info/pipermail/indology/2024-August.txt.gz
2024-September,2024,9,September,112,112,79,https://list.indology.info/pipermail/indology/2024-September/thread.html,https://list.indology.info/pipermail/indology/2024-September/date.html,https://list.indology.info/pipermail/indology/2024-September.txt.gz
2024-October,2024,10,October,82,82,71,https://list.indology.info/pipermail/indology/2024-October/thread.html,https://list.indology.info/pipermail/indology/2024-October/date.html,https://list.indology.info/pipermail/indology/2024-October.txt.gz
2024-November,2024,11,November,105,105,75,https://list.indology.info/pipermail/indology/2024-November/thread.html,https://list.indology.info/pipermail/indology/2024-November/date.html,https://list.indology.info/pipermail/indology/2024-November.txt.gz
2024-December,2024,12,December,118,119,71,https://list.indology.info/pipermail/indology/2024-December/thread.html,https://list.indology.info/pipermail/indology/2024-December/date.html,https://list.indology.info/pipermail/indology/2024-December.txt.gz
2025-January,2025,1,January,146,146,107,https://list.indology.info/pipermail/indology/2025-January/thread.html,https://list.indology.info/pipermail/indology/2025-January/date.html,https://list.indology.info/pipermail/indology/2025-January.txt.gz
2025-February,2025,2,February,127,127,93,https://list.indology.info/pipermail/indology/2025-February/thread.html,https://list.indology.info/pipermail/indology/2025-February/date.html,https://list.indology.info/pipermail/indology/2025-February.txt.gz
2025-March,2025,3,March,145,145,235,https://list.indology.info/pipermail/indology/2025-March/thread.html,https://list.indology.info/pipermail/indology/2025-March/date.html,https://list.indology.info/pipermail/indology/2025-March.txt.gz
2025-April,2025,4,April,107,107,79,https://list.indology.info/pipermail/indology/2025-April/thread.html,https://list.indology.info/pipermail/indology/2025-April/date.html,https://list.indology.info/pipermail/indology/2025-April.txt.gz
