source_author,target_author,confidence,weight
DR.S.KALYANARAMAN,DR.S.KALYANARAMAN,thread_inferred,8
"Lubin, Tim",Madhav Deshpande,exact_in_reply_to,8
jkirk,jkirk,thread_inferred,8
Dominique.Thillaud,Dominique.Thillaud,thread_inferred,8
Lars Martin Fosse,SStephen,thread_inferred,8
Dean Anderson,Michael Witzel,thread_inferred,8
jhakgirish,Madhav Deshpande,thread_inferred,8
Vanbakkam Vijayaraghavan,N. Ganesan,thread_inferred,8
Matthew Kapstein,Paolo Eugenio Rosati,exact_in_reply_to,8
Matthew Kapstein,"Olivelle, J P",exact_in_reply_to,8
Benjamin Fleming,Benjamin Fleming,thread_inferred,8
Walter Slaje,Dan Lusthaus,exact_in_reply_to,8
Walter Slaje,Harry Spier,exact_in_reply_to,8
Howard Resnick,Matthew Kapstein,exact_in_reply_to,8
gruenendahl,Dominik Wujastyk,thread_inferred,8
Krishnaprasad G,Dominik Wujastyk,exact_in_reply_to,8
Bharat Gupt,Venkatraman Iyer,thread_inferred,8
S Krishna,Sudalaimuthu Palaniappan,thread_inferred,8
Jesse Knutson,Madhav Deshpande,exact_in_reply_to,8
Artur Karp,Matthew Kapstein,exact_in_reply_to,8
Anand M. Sharan,Anand M. Sharan,thread_inferred,8
N. Ganesan,Michael Witzel,thread_inferred,8
Artur Karp,Michael Witzel,thread_inferred,8
Dominik Wujastyk,Arlo Griffiths,thread_inferred,8
Dominik Wujastyk,Madhav Deshpande,thread_inferred,8
N. Ganesan,Krishna P Konduru,thread_inferred,8
N. Ganesan,Harry Spier,thread_inferred,8
Dominik Wujastyk,Kenneth Zysk,thread_inferred,8
Madhav Deshpande,Howard Resnick,exact_in_reply_to,8
Lubomír Ondračka,David and Nancy Reigle,exact_in_reply_to,8
Lars Martin Fosse,Jean Fezas,thread_inferred,8
Bhadraiah Mallampalli,Steve Farmer,thread_inferred,7
Arun Gupta,rohan.oberoi at CORNELL.EDU,thread_inferred,7
Jacob Baltuch,Meenaradchagan Vishnu,thread_inferred,7
Bijoy Misra,Krishna P Konduru,thread_inferred,7
Klaus Karttunen,Dominik Wujastyk,thread_inferred,7
Antonia Ruppel,Madhav Deshpande,exact_in_reply_to,7
