domain,priority,source_file,source_row,record_id,label,status,reason,evidence_url,reviewer,checked_at,note
author_normalization,high,data/processed/authors_needing_review.csv,143,indology-author-f89b0d5f45,jason.cannon-silber at studium.uni-hamburg.de,needs_review,email-like public archive author string; not merged to a real-name identity,,,,
author_normalization,high,data/processed/authors_needing_review.csv,144,indology-author-a8d9f951cb,jdwhite at unccvm.uncc.edu,needs_review,email-like public archive author string; not merged to a real-name identity,,,,
author_normalization,high,data/processed/authors_needing_review.csv,145,indology-author-bbd9422d5d,kradhikary at mail.utexas.edu,needs_review,email-like public archive author string; not merged to a real-name identity,,,,
author_normalization,high,data/processed/authors_needing_review.csv,146,indology-author-799d88a1c1,lusthaus at macalstr.edu,needs_review,email-like public archive author string; not merged to a real-name identity,,,,
author_normalization,high,data/processed/authors_needing_review.csv,147,indology-author-aa54dfd8ae,thayashi at doshisha.ac.jp,needs_review,email-like public archive author string; not merged to a real-name identity,,,,
author_normalization,high,data/processed/authors_needing_review.csv,148,indology-author-7b409332db,tiziana.lorenzetti at libero.it,needs_review,email-like public archive author string; not merged to a real-name identity,,,,
author_normalization,high,data/processed/authors_needing_review.csv,149,indology-author-cbdb0cc7f3,Charles,needs_review,short or single-token display name; retained without merge,,,,
author_normalization,high,data/processed/authors_needing_review.csv,150,indology-author-45aabe8014,HFArnold at aol.com,needs_review,email-like public archive author string; not merged to a real-name identity,,,,
author_normalization,high,data/processed/authors_needing_review.csv,151,indology-author-c74dc32d4a,Jonathan.Silk at um.cc.umich.edu,needs_review,email-like public archive author string; not merged to a real-name identity,,,,
author_normalization,high,data/processed/authors_needing_review.csv,152,indology-author-65574fb6bc,Matsumura,needs_review,short or single-token display name; retained without merge,,,,
author_normalization,high,data/processed/authors_needing_review.csv,153,indology-author-d52f1515eb,adi at uclink2.berkeley.edu,needs_review,email-like public archive author string; not merged to a real-name identity,,,,
author_normalization,high,data/processed/authors_needing_review.csv,154,indology-author-24621f4253,ai927 at freenet.carleton.ca,needs_review,email-like public archive author string; not merged to a real-name identity,,,,
author_normalization,high,data/processed/authors_needing_review.csv,155,indology-author-f4c1f17f05,ashok.aklujkar,needs_review,short or single-token display name; retained without merge,,,,
author_normalization,high,data/processed/authors_needing_review.csv,156,indology-author-8efb0028f9,d.wujastyk at ucl.ac.uk,needs_review,email-like public archive author string; not merged to a real-name identity,,,,
author_normalization,high,data/processed/authors_needing_review.csv,157,indology-author-261f5280cb,echnaton at fub46.zedat.fu-berlin.de,needs_review,email-like public archive author string; not merged to a real-name identity,,,,
author_normalization,high,data/processed/authors_needing_review.csv,158,indology-author-bfdf19333b,gldnreef at primenet.com,needs_review,email-like public archive author string; not merged to a real-name identity,,,,
author_normalization,high,data/processed/authors_needing_review.csv,159,indology-author-06716324c5,madhav.deshpande at EDU.UMICH.CC.UM,needs_review,email-like public archive author string; not merged to a real-name identity,,,,
author_normalization,high,data/processed/authors_needing_review.csv,160,indology-author-b2869dbb03,pgm,needs_review,short or single-token display name; retained without merge,,,,
author_normalization,high,data/processed/authors_needing_review.csv,161,indology-author-222bf5c848,rwl at uts.cc.utexas.edu,needs_review,email-like public archive author string; not merged to a real-name identity,,,,
author_normalization,high,data/processed/authors_needing_review.csv,162,indology-author-75b686f2bc,srutavega,needs_review,short or single-token display name; retained without merge,,,,
author_normalization,high,data/processed/authors_needing_review.csv,163,indology-author-1336779e28,tccahill,needs_review,short or single-token display name; retained without merge,,,,
author_normalization,high,data/processed/authors_needing_review.csv,164,indology-author-09e7bdf960,torella at rmcisadu.cisadu.uniroma1.it,needs_review,email-like public archive author string; not merged to a real-name identity,,,,
author_normalization,high,data/processed/authors_needing_review.csv,165,indology-author-32c21ad264,winnie,needs_review,short or single-token display name; retained without merge,,,,
author_normalization,high,data/processed/authors_needing_review.csv,166,indology-author-b60ba4e115,Bob King - ligi355 at utxvms.cc.utexas.edu,needs_review,email-like public archive author string; not merged to a real-name identity,,,,
author_normalization,high,data/processed/authors_needing_review.csv,167,indology-author-2ea7557527,HaroldA at eworld.com,needs_review,email-like public archive author string; not merged to a real-name identity,,,,
author_normalization,high,data/processed/authors_needing_review.csv,168,indology-author-2663718008,HdGoswami,needs_review,short or single-token display name; retained without merge,,,,
author_normalization,high,data/processed/authors_needing_review.csv,169,indology-author-3795b7dc78,Jyotishi at aol.com,needs_review,email-like public archive author string; not merged to a real-name identity,,,,
author_normalization,high,data/processed/authors_needing_review.csv,170,indology-author-a894756d7f,KERNLIBRVN at rullet.LeidenUniv.nl,needs_review,email-like public archive author string; not merged to a real-name identity,,,,
author_normalization,high,data/processed/authors_needing_review.csv,171,indology-author-65d24d4f31,LGoehler at aol.com,needs_review,email-like public archive author string; not merged to a real-name identity,,,,
author_normalization,high,data/processed/authors_needing_review.csv,172,indology-author-dacef5bf76,Peter_Scharf at brown.edu,needs_review,email-like public archive author string; not merged to a real-name identity,,,,
author_normalization,high,data/processed/authors_needing_review.csv,173,indology-author-57e2552daa,SIDDHARTHV at delphi.com,needs_review,email-like public archive author string; not merged to a real-name identity,,,,
author_normalization,high,data/processed/authors_needing_review.csv,174,indology-author-597670caae,beitel,needs_review,short or single-token display name; retained without merge,,,,
author_normalization,high,data/processed/authors_needing_review.csv,175,indology-author-107290fb75,mccomas,needs_review,short or single-token display name; retained without merge,,,,
