person_id,display_name,full_name_ru,n_talks,rinc_search_url,review_status,rinc_author_id,spin,profile_url,reviewer,checked_at,notes,birth_year_estimate,first_publication_year,first_publication_source
PERS_8e117242,Е. А. Юдицкая,Е. А. Юдицкая,9,https://elibrary.ru/author_items.asp?authorid=&fams=Юдицкая,todo,,,,,,rejected_filter:low_works_count=1,,,
PERS_a0264ac5,Бурмистров Сергей Леонидович,Бурмистров Сергей Леонидович,9,https://elibrary.ru/author_items.asp?authorid=&fams=Бурмистров,todo,,,,,,rejected_filter:pub_year_pre_2015=2008,,,
PERS_e72d4c09,Е. Д. Огнева,Е. Д. Огнева,9,https://elibrary.ru/author_items.asp?authorid=&fams=Огнева,todo,,,,,,no_match,,,
PERS_ea44fd14,А. Г. Люлина,Люлина Анастасия Геннадьевна,9,https://elibrary.ru/author_items.asp?authorid=&fams=Люлина,todo,,,,,,no_match,,,
PERS_f2fef030,Мехакян Арег Гайкович,Мехакян Арег Гайкович,9,https://elibrary.ru/author_items.asp?authorid=&fams=Мехакян,todo,,,,,,no_match,,,
PERS_36dabb79,А. Г. Гурия,Гурия Анастасия Георгиевна,8,https://elibrary.ru/author_items.asp?authorid=&fams=Гурия,todo,,,,,,rejected_filter:low_works_count=1,,,
PERS_5d34c947,Волошина Оксана Анатольевна,Волошина Оксана Анатольевна,8,https://elibrary.ru/author_items.asp?authorid=&fams=Волошина,todo,,,,,,rejected_filter:pub_year_pre_2015=2010,,,
PERS_7542d270,Демченко Максим Борисович,Демченко Максим Борисович,8,https://elibrary.ru/author_items.asp?authorid=&fams=Демченко,todo,,,,,,rejected_filter:low_works_count=3,,,
PERS_fb25c80f,Ермакова Татьяна Викторовна,Ермакова Татьяна Викторовна,8,https://elibrary.ru/author_items.asp?authorid=&fams=Ермакова,todo,,,,,,rejected_filter:low_works_count=1,,,
PERS_0e0a154e,Титлин Лев Игоревич,Титлин Лев Игоревич,7,https://elibrary.ru/author_items.asp?authorid=&fams=Титлин,todo,,,,,,rejected_filter:low_works_count=1,,,
PERS_1c6fcce5,Кузина Елизавета Олеговна,Кузина Елизавета Олеговна,7,https://elibrary.ru/author_items.asp?authorid=&fams=Кузина,todo,,,,,,rejected_filter:low_works_count=1,,,
PERS_50d73711,Смирнитская Анна Александровна,Смирнитская Анна Александровна,7,https://elibrary.ru/author_items.asp?authorid=&fams=Смирнитская,todo,,,,,,rejected_filter:low_works_count=3,,,
PERS_72506535,Крылова Анастасия Сергеевна,Крылова Анастасия Сергеевна,7,https://elibrary.ru/author_items.asp?authorid=&fams=Крылова,todo,,,,,,,1990,2015,openalex
PERS_9f398436,Куликов Леонид Игоревич,Куликов Леонид Игоревич,7,https://elibrary.ru/author_items.asp?authorid=&fams=Куликов,todo,,,,,,rejected_filter:pub_year_pre_2015=2011,,,
PERS_c5677a3f,А. В. Зорин,Зорин Алексей Валерьевич,7,https://elibrary.ru/author_items.asp?authorid=&fams=Зорин,todo,,,,,,rejected_filter:pub_year_pre_2015=1989,,,
PERS_cfb92c5f,Уланский Евгений Александрович,Уланский Евгений Андреевич,7,https://elibrary.ru/author_items.asp?authorid=&fams=Уланский,todo,,,,,,rejected_filter:low_works_count=3,,,
