confidence,matched_field,matched_field_text,matched_term,presentation_id,public_path,renou_axis,renou_code,renou_label,rule_id,series,source_url,title,year
title_tag_pattern,tag,Literature & Poetry,Poetry,PRES_b1d123ee06,p/tema-derevni-v-sattasai.html,state,IV,Classical,state_IV,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=1251&option=com_content&task=view,Тема деревни в «Саттасаи»,2006
title_tag_pattern,tag,Literature & Poetry,Poetry,PRES_b1d123ee06,p/tema-derevni-v-sattasai.html,register,kavya,Kāvya,register_kavya,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=1251&option=com_content&task=view,Тема деревни в «Саттасаи»,2006
title_tag_pattern,title,,Шанкар,PRES_bb69fb252f,p/o-sootnoshenii-sanskritskogo-i-tibetskogo-tekstov-gimna-prevoskhodyashchemu-bogov-shankarasvamin.html,register,bhasya,Bhāṣya,register_bhasya,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=1251&option=com_content&task=view,О соотношении санскритского и тибетского текстов «Гимна Превосходящему богов» Шанкарасвамина,2006
title_tag_pattern,title,,будд,PRES_bdb9ecf419,p/mekhanizmy-peredachi-sakralnogo-teksta-v-shkolakh-rannego-buddizma-k-postanovke-problemy.html,state,V,Buddhist / Jaina,state_V,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=1251&option=com_content&task=view,Механизмы передачи сакрального текста в школах раннего буддизма (К постановке проблемы),2006
title_tag_pattern,title,,будд,PRES_bdb9ecf419,p/mekhanizmy-peredachi-sakralnogo-teksta-v-shkolakh-rannego-buddizma-k-postanovke-problemy.html,register,bauddha,Bauddha,register_bauddha,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=1251&option=com_content&task=view,Механизмы передачи сакрального текста в школах раннего буддизма (К постановке проблемы),2006
title_tag_pattern,tag,Literature & Poetry,Poetry,PRES_d5cc6c0374,p/k-voprosu-o-syuzhetnykh-i-stilisticheskikh-istokakh-rannikh-priklyuchencheskikh-romanov-na-khind.html,state,IV,Classical,state_IV,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=1251&option=com_content&task=view,К вопросу о сюжетных и стилистических истоках ранних приключенческих романов на хинди,2006
title_tag_pattern,title,,сюжет,PRES_d5cc6c0374,p/k-voprosu-o-syuzhetnykh-i-stilisticheskikh-istokakh-rannikh-priklyuchencheskikh-romanov-na-khind.html,register,katha,Kathā,register_katha,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=1251&option=com_content&task=view,К вопросу о сюжетных и стилистических истоках ранних приключенческих романов на хинди,2006
title_tag_pattern,tag,Literature & Poetry,Poetry,PRES_d5cc6c0374,p/k-voprosu-o-syuzhetnykh-i-stilisticheskikh-istokakh-rannikh-priklyuchencheskikh-romanov-na-khind.html,register,kavya,Kāvya,register_kavya,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=1251&option=com_content&task=view,К вопросу о сюжетных и стилистических истоках ранних приключенческих романов на хинди,2006
title_tag_pattern,title,,пуран,PRES_dfef1a443f,p/predstavleniya-ob-obshchestve-i-vlasti-v-bkhagavata-purane.html,state,III,Epic & prolongements,state_III,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=1251&option=com_content&task=view,Представления об обществе и власти в «Бхагавата-пуране»,2006
title_tag_pattern,title,,Бхагават,PRES_dfef1a443f,p/predstavleniya-ob-obshchestve-i-vlasti-v-bkhagavata-purane.html,register,purana,Purāṇa,register_purana,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=1251&option=com_content&task=view,Представления об обществе и власти в «Бхагавата-пуране»,2006
title_tag_pattern,title,,Махабхарат,PRES_f771f5827d,p/zavershayushchie-strofy-makhabkharaty-leksika-i-semantika.html,state,III,Epic & prolongements,state_III,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=1251&option=com_content&task=view,Завершающие строфы «Махабхараты»: лексика и семантика,2006
title_tag_pattern,tag,Literature & Poetry,Poetry,PRES_f771f5827d,p/zavershayushchie-strofy-makhabkharaty-leksika-i-semantika.html,state,IV,Classical,state_IV,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=1251&option=com_content&task=view,Завершающие строфы «Махабхараты»: лексика и семантика,2006
title_tag_pattern,title,,Махабхарат,PRES_f771f5827d,p/zavershayushchie-strofy-makhabkharaty-leksika-i-semantika.html,register,epic,Epic,register_epic,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=1251&option=com_content&task=view,Завершающие строфы «Махабхараты»: лексика и семантика,2006
title_tag_pattern,tag,Literature & Poetry,Poetry,PRES_f771f5827d,p/zavershayushchie-strofy-makhabkharaty-leksika-i-semantika.html,register,kavya,Kāvya,register_kavya,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=1251&option=com_content&task=view,Завершающие строфы «Махабхараты»: лексика и семантика,2006
title_tag_pattern,tag,Literature & Poetry,Poetry,PRES_fa7c38b2f3,p/entsiklopediya-abkhidkharmy-vasubandkhu-kak-proizvedenie-sanskritskoi-literatury.html,state,IV,Classical,state_IV,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=1251&option=com_content&task=view,«Энциклопедия Абхидхармы» Васубандху как произведение санскритской литературы,2006
title_tag_pattern,title,,Абхидхарм,PRES_fa7c38b2f3,p/entsiklopediya-abkhidkharmy-vasubandkhu-kak-proizvedenie-sanskritskoi-literatury.html,state,V,Buddhist / Jaina,state_V,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=1251&option=com_content&task=view,«Энциклопедия Абхидхармы» Васубандху как произведение санскритской литературы,2006
title_tag_pattern,tag,Literature & Poetry,Poetry,PRES_fa7c38b2f3,p/entsiklopediya-abkhidkharmy-vasubandkhu-kak-proizvedenie-sanskritskoi-literatury.html,register,kavya,Kāvya,register_kavya,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=1251&option=com_content&task=view,«Энциклопедия Абхидхармы» Васубандху как произведение санскритской литературы,2006
