entity_type,entity_id,display_name,field_name,field_value,source_type,source_url,confidence,checked_at,notes
person,PERS_a8983673,Вигель Нарине Липаритовна,birth_year,1967,curated_biographical_data,https://ancient.ivran.ru/novosti?year=2024,manual,2026-05-30,Loaded into person table during DB build.
person,PERS_88d163c1,Видунас Витис,full_name_ru,Видунас Витис,curated_biographical_data,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=80&option=com_content&task=view,confirmed,2026-05-30,Loaded into person table during DB build.
person,PERS_88d163c1,Видунас Витис,full_name_en,Vytis Vidunas,curated_biographical_data,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=80&option=com_content&task=view,confirmed,2026-05-30,Loaded into person table during DB build.
person,PERS_88d163c1,Видунас Витис,birth_year,1960,curated_biographical_data,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=80&option=com_content&task=view,manual,2026-05-30,Loaded into person table during DB build.
person,PERS_e8396809,Вишну Шукла,full_name_ru,Вишну Шукла,curated_biographical_data,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=12981&option=com_content&task=view,confirmed,2026-05-30,Loaded into person table during DB build.
person,PERS_e8396809,Вишну Шукла,full_name_en,Vishnu Shukla,curated_biographical_data,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=12981&option=com_content&task=view,confirmed,2026-05-30,Loaded into person table during DB build.
person,PERS_e8396809,Вишну Шукла,birth_year,1991,curated_biographical_data,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=12981&option=com_content&task=view,manual,2026-05-30,Loaded into person table during DB build.
person,PERS_0fd718a7,Воздиган Ксения Михайловна,full_name_ru,Воздиган Ксения Михайловна,curated_biographical_data,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=2609&option=com_content&task=view,confirmed,2026-05-30,Loaded into person table during DB build.
person,PERS_0fd718a7,Воздиган Ксения Михайловна,full_name_en,Ksenia Vozdigan,curated_biographical_data,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=2609&option=com_content&task=view,confirmed,2026-05-30,Loaded into person table during DB build.
person,PERS_0fd718a7,Воздиган Ксения Михайловна,birth_year,1984,curated_biographical_data,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=2609&option=com_content&task=view,manual,2026-05-30,Loaded into person table during DB build.
person,PERS_e4aab278,Возчиков Дмитрий Викторович,full_name_ru,Возчиков Дмитрий Викторович,curated_biographical_data,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=15292&option=com_content&task=view,confirmed,2026-05-30,Loaded into person table during DB build.
person,PERS_e4aab278,Возчиков Дмитрий Викторович,full_name_en,Dmitry Vozchikov,curated_biographical_data,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=15292&option=com_content&task=view,confirmed,2026-05-30,Loaded into person table during DB build.
person,PERS_e4aab278,Возчиков Дмитрий Викторович,birth_year,1989,curated_biographical_data,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=15292&option=com_content&task=view,manual,2026-05-30,Loaded into person table during DB build.
person,PERS_5d34c947,Волошина Оксана Анатольевна,full_name_ru,Волошина Оксана Анатольевна,curated_biographical_data,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=3663&option=com_content&task=view,confirmed,2026-05-30,Loaded into person table during DB build.
person,PERS_5d34c947,Волошина Оксана Анатольевна,full_name_en,Voloshina Oksana Anatolyevna,curated_biographical_data,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=3663&option=com_content&task=view,confirmed,2026-05-30,Loaded into person table during DB build.
person,PERS_5d34c947,Волошина Оксана Анатольевна,birth_year,1974,curated_biographical_data,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=3663&option=com_content&task=view,manual,2026-05-30,Loaded into person table during DB build.
person,PERS_41d6aa73,Воробьева Дарья Николаевна,full_name_ru,Воробьева Дарья Николаевна,curated_biographical_data,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=4023&option=com_content&task=view,confirmed,2026-05-30,Loaded into person table during DB build.
person,PERS_41d6aa73,Воробьева Дарья Николаевна,full_name_en,Vorobyeve Daria Nikolaevna,curated_biographical_data,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=4023&option=com_content&task=view,confirmed,2026-05-30,Loaded into person table during DB build.
person,PERS_41d6aa73,Воробьева Дарья Николаевна,birth_year,1982,curated_biographical_data,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=4023&option=com_content&task=view,manual,2026-05-30,Loaded into person table during DB build.
