video_id,video_url,video_title,year,title_hint,speaker_hint,similarity,status,presentation_id_snapshot
ziuJevNqUAY,https://www.youtube.com/watch?v=ziuJevNqUAY,Е.К. Бросалина (Санкт-Петербург). Структура «Чарья-гити».,2025,Еще раз о структуре Чарьягити,Лекарева Ева Павловна,0.582,auto,PRES_7a4ee4eb
JJhQwiKLetE,https://www.youtube.com/watch?v=JJhQwiKLetE,Волошина Оксана Анатольевна (Москва). Фоносемантическая структура ведийского текста,2020,Фоносемантическая структура ведийского текста (на  примере гимна Ригведы I.7),Волошина Оксана Анатольевна,0.584,auto,PRES_48466f4b
Tr0wH8EonoI,https://www.youtube.com/watch?v=Tr0wH8EonoI,"Александрова Наталия Владимировна Москва Начальный сюжет в житийной литературе раннего буддизма, ег",2025,"Начальный сюжет в житийной литературе раннего буддизма, его вариативность и смысловое наполнение",Александрова Наталия Владимировна,0.591,auto,PRES_7adfd916
JRa-UfS_AWM,https://www.youtube.com/watch?v=JRa-UfS_AWM,Блиндерман Радха Тимуровна (Кембридж). Санскритские наречия в трудах бенгальских грамматистов,2020,Санскритские наречия в трудах бенгальских грамматистов (Дживы Госвамина и Баларамы Панчананы),Блиндерман Радха Тимуровна,0.597,auto,PRES_36e2eb74
PwLF0kENJjQ,https://www.youtube.com/watch?v=PwLF0kENJjQ,Лемешкина К. В. (Санкт-Петербург). Интерпретация кровавых событий раздела Индии и Пакистана,2020,Интерпретация кровавых событий раздела Индии и Пакистана в романе Кхушванта Сингха «Поезд в Пакистан»,Лемешкина Ксения Вячеславовна,0.605,auto,PRES_7303b598
5GjkwpG1v9A,https://www.youtube.com/watch?v=5GjkwpG1v9A,Лапшин Иван Евгеньевич (Москва). Понятие религиозного инклюзивизма у П. Хакера,2020,Понятие религиозного инклюзивизма,Лапшин Иван Евгеньевич,0.617,auto,PRES_74f47fad
SCEaOZy7bR4,https://www.youtube.com/watch?v=SCEaOZy7bR4,Вигасин Алексей Алексеевич Москва К интерпретации Ригведы śiśnadevāḥ онлайн,2025,К интерпретации Ригведы: śiśnadevāḥ,Вигасин Алексей Алексеевич,0.624,auto,PRES_96fceb17
AF6_VJh5erU,https://www.youtube.com/watch?v=AF6_VJh5erU,"XLIV Зографские чтения, 24.05.2023, Скороходова Татьяна Григорьевна (Пенза)",2026,Интерпретация идей Упанишад в,Скороходова Татьяна Григорьевна,0.624,auto,PRES_06aedb87
MQtrDaHBQ4c,https://www.youtube.com/watch?v=MQtrDaHBQ4c,"XLIV Зографские чтения, 23:05.2023, Демченко Максим Борисович (Москва).",2022,Рамаитская поэзия,Демченко Максим Борисович,0.628,auto,PRES_6f73e846
BLOf6OyiN7w,https://www.youtube.com/watch?v=BLOf6OyiN7w,"Коробов Владимир Борисович (Вильнюс, Литва) Абхидхарма как когнитивная стратегия",2020,Абхидхарма как когнитивная стратегия,Коробов Владимир Борисович,0.637,auto,PRES_7811738e
1v7Xz_Pu33U,https://www.youtube.com/watch?v=1v7Xz_Pu33U,Крылова А.С. (Москва) Новые индоарийские этимологии лексики языка куллуи.,2025,Новые древнеиндийские праформы на материале этимологий лексики языка куллуи,Крылова Анастасия Сергеевна,0.639,auto,PRES_1a008d5a
7R_EPJQ-zw0,https://www.youtube.com/watch?v=7R_EPJQ-zw0,Зимина Татьяна Александровна (Санкт-Петербург). Об особенностях традиционной пищи веддов,2020,Об особенностях традиционной пищи веддов,Зимина Татьяна Александровна,0.64,auto,PRES_fd75a07b
