PersonID,DisplayName,TotalTalks,ZografTalks,RoerichTalks,FirstYearSeen,LastYearSeen,SeriesAttended
PERS_287fe378,Рыбакова Анна Геннадьевна,10,10,0,2016,2026,Zograf
PERS_91b473b1,Челнокова Анна Витальевна,10,10,0,2008,2026,Zograf
PERS_5d34c947,Волошина Оксана Анатольевна,9,9,0,2014,2026,Zograf
PERS_ebb6d156,Ложкина Анастасия Витальевна,9,3,6,2013,2019,Zograf+Roerich
PERS_ea44fd14,Люлина Анастасия Геннадьевна,9,0,9,2017,2025,Roerich
PERS_50d73711,Смирнитская Анна Александровна,9,7,2,2017,2025,Zograf+Roerich
PERS_a84aedaa,Шомахмадов Сафарали Хайбуллоевич,9,9,0,2006,2026,Zograf
PERS_8516d1e4,Гасунс Марцис Юрьевич,8,6,2,2006,2024,Zograf+Roerich
PERS_8df3730a,Донченко Сергей Сергеевич,8,8,0,2010,2025,Zograf
PERS_7eb0dc30,Зимина Татьяна Александровна,8,8,0,2013,2020,Zograf
PERS_ba81468a,Кокова Юлия Георгиевна,8,8,0,2004,2018,Zograf
PERS_9f398436,Куликов Леонид Игоревич,8,5,3,2015,2026,Zograf+Roerich
PERS_d2559ba1,Лепехова Елена Сергеевна,8,0,8,2009,2020,Roerich
PERS_58b39545,Ренковская Евгения Алексеевна,8,6,2,2019,2026,Zograf+Roerich
PERS_6441d568,Соболева Елена Станиславовна,8,8,0,2013,2026,Zograf
PERS_0ca995ac,Яковлев Виктор Михайлович,8,0,8,2008,2018,Roerich
PERS_f5b8b340,Вигасин Алексей Алексеевич,7,3,4,2006,2025,Zograf+Roerich
PERS_22d87263,Костина Екатерина Александровна,7,7,0,2013,2023,Zograf
PERS_3c202afd,Крапивина Раиса Николаевна,7,5,2,2004,2026,Zograf+Roerich
PERS_1c6fcce5,Кузина Елизавета Олеговна,7,2,5,2016,2022,Zograf+Roerich
PERS_f8ab5755,Оранская Татьяна Иосифовна,7,7,0,2010,2026,Zograf
PERS_db046be0,Сабирова Римма Наилевна,7,7,0,2018,2026,Zograf
PERS_5e2a5a5c,Столярова Екатерина Владимировна,7,7,0,2016,2025,Zograf
PERS_0e0a154e,Титлин Лев Игоревич,7,3,4,2012,2022,Zograf+Roerich
PERS_cfb92c5f,Уланский Евгений Александрович,7,4,3,2019,2025,Zograf+Roerich
PERS_92f293f8,Хрущева Полина Викторовна,7,7,0,2011,2018,Zograf
PERS_088c4df7,Атманова Юлия Георгиевна,6,0,6,2013,2019,Roerich
PERS_10547db9,Б. В. Загуменнов,6,6,0,2006,2012,Zograf
PERS_0fd718a7,Воздиган Ксения Михайловна,6,6,0,2010,2016,Zograf
PERS_8108c314,Ерченков Олег Николаевич,6,6,0,2009,2024,Zograf
PERS_6e211759,Иванов Владимир Павлович,6,5,1,2012,2026,Zograf+Roerich
PERS_efc88709,Канаева Наталия Алексеевна,6,3,3,2013,2025,Zograf+Roerich
PERS_e5a5ac24,Невелева Светлана Леонидовна,6,6,0,2004,2011,Zograf
PERS_7f908d49,Стрельцова Лилия Александровна,6,6,0,2012,2025,Zograf
PERS_3c7d41ac,Фомин Максим Сергеевич,6,0,6,2010,2021,Roerich
PERS_c6bbcef3,Битинайте Елена Алексеевна,5,5,0,2018,2025,Zograf
PERS_2c40b9b1,Гуров Никита Владимирович,5,5,0,2004,2009,Zograf
PERS_28317057,Дубянская Татьяна Александровна,5,5,0,2004,2024,Zograf
PERS_db0a826b,Комарова Ирина Нигматовна,5,0,5,2010,2018,Roerich
PERS_e96139bd,Коробов Владимир Борисович,5,5,0,2011,2020,Zograf
PERS_2a2e5602,Коровина Евгения Владимировна,5,5,0,2019,2026,Zograf
PERS_d218805b,Крюкова Виктория Юрьевна,5,5,0,2009,2024,Zograf
PERS_cdbd7a15,Кулланда Сергей Всеволодович,5,1,4,2008,2012,Zograf+Roerich
PERS_b62a9567,Курочкин Александр Юрьевич,5,5,0,2017,2019,Zograf
PERS_50c46233,Маретина Ксения Александровна,5,5,0,2010,2025,Zograf
PERS_01aafd44,Сафина Наталья Алексеевна,5,5,0,2016,2021,Zograf
